what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1298364058360
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1298364058375
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1298364058375
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1298364058407
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1298364058407
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1298364058422
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1298364058438
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1298364058453
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1298364058453
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1298364058469
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1298364058485
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1298364058532
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1298364058547
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1298364058547
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1298364058563
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1298364058563
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1298364058578
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1298364058594
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1298364058594
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1298364058625
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1298364058641
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1298364058641
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1298364058657
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1298364058672
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1298364058719
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1298364058735
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1298364058735
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1298364058735
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1298364058735
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1298364058735
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1298364058766
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1298364058766
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1298364058797
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1298364058797
os,sysinfo,,,"win32",1298364058797
arch,sysinfo,,,"x86_64",1298364058797
ws,sysinfo,,,"win32",1298364058797
locale,sysinfo,,,"en_US",1298364058797
processors,sysinfo,,,"1",1298364058797
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1298364058797
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1298364058797
java.specification.name,sysinfo,,,"Java Platform API Specification",1298364058797
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298364058797
java.specification.version,sysinfo,,,"1.6",1298364058797
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1298364058797
java.version,sysinfo,,,"1.6.0_24",1298364058797
java.vm.info,sysinfo,,,"mixed mode",1298364058797
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1298364058797
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298364058797
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298364058797
java.vm.specification.version,sysinfo,,,"1.0",1298364058797
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1298364058797
java.vm.version,sysinfo,,,"19.1-b02",1298364058797
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298364064768
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1298364066175
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1298364066331
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1298364066440
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1298364066487
